 postcode, legal_name, suburb, address, ogc_fid, longitude, latitude
3031.0,Flemington Primary School,FLEMINGTON,Flemington Primary School,1183,144.928,-37.785
3058.0,Friendly Fish Enterprises Pty Ltd ATF The Andrew Moses Family Trust,COBURG,Dewdrops Early Learning-Moreland,1184,144.9645,-37.7438
3058.0,Arkoudaki Enterprises Pty Ltd (ATF the M & D Moses Family Trust),COBURG,Arkoudaki Enterprises   (ATF the M & D Moses Family Trust),1185,144.9645,-37.7438
3041.0,Alsad Pty Ltd,ESSENDON NORTH,Alsad  ,1186,144.8992556,-37.7383196
3025.0,Kicks 4 Kids Pty Ltd,ALTONA NORTH,Kicks 4 Kids,1187,144.8346241,-37.8388686
3025.0,ANNUNCIATION PRIMARY SCHOOL BROOKLYN,ALTONA NORTH,Annunciation Primary School Brooklyn,1188,144.8346241,-37.8388686
3018.0,Altona Primary School Council,ALTONA,Altona Primary School Council,1189,144.8126334,-37.859343
3020.0,Ms Vivian Abboalrahman,SUNSHINE WEST,6 HALL ST ,1190,144.816,-37.795
3047.0,Dallas Welfare & Youth Service,BROADMEADOWS,Dallas Welfare & Youth Service,1192,144.925,-37.685
3021.0,Kings Park Primary School,ST ALBANS,Kings Park Primary School,1193,144.803889,-37.736111
3194.0,Mentone Girls Grammar School,MENTONE,Mentone Girls Grammar School,1196,145.068889,-37.985
3128.0,BOX HILL INSTITUTE,BOX HILL,BOX HILL INSTITUTE,1220,145.126,-37.8215
3154.0,Colchester Park Preschool Inc,THE BASIN,Colchester Park Preschool ,1228,145.3198788,-37.8534742
3174.0,Harrisfield Primary School Council,NOBLE PARK,495 PRES HIGHWAY ,1244,145.176,-37.967
3175.0,Abdulkadir Hussein,NOBLE PARK,8 MAXWELL COURT ,1245,145.176,-37.967
3174.0,Flamjb PTY LTD,NOBLE PARK,LEVEL 1 46 DOUGLAS STREET ,1246,145.176,-37.967
3174.0,Brighter Life Australia Pty Ltd,NOBLE PARK,Brighter Life Australia  ,1247,145.176,-37.967
3135.0,Maroondah Montessori Preschool Inc,RINGWOOD EAST,Maroondah Montessori Preschool ,1255,145.252,-37.818
3134.0,Pinemont Preschool Association Inc,RINGWOOD NORTH,Pinemont Preschool  ,1256,145.226877,-37.799883
3040.0,Northwest Maria Montessori Preschool Inc,ESSENDON,Northwest Maria Montessori Preschool ,1261,144.912,-37.749
